issue_id,reporter_col,team_col,component_col,grep_sec,grep_perf,Security_pos_col,Security_neu_col,Security_neg_col,Performance_pos_col,Performance_neu_col,Performance_neg_col,ST_col,Patch_col,CE_col,TC_col,EN_col,files_col,target_Security,target_Performance
214,james strachan,1,null,0,0,0.0,0.0,13.0,0.0,0.0,13.0,0,0,0,0,0,,0,0
224,Arjan Moraal,0,camel-core,0,0,0.0,0.0,18.0,0.0,0.0,18.0,0,0,1,1,0,camel-core/src/main/java/org/apache/camel/builder/xml/XsltBuilder.java;camel-core/src/main/java/org/apache/camel/builder/xml/XsltBuilder.java;components/camel-juel/src/test/java/org/apache/camel/language/juel/issues/XsltLosesHeaderTest.java;,0,0
232,Hadrian Zbarcea,1,camel-core,0,0,0.0,0.0,3.0,1.0,0.0,2.0,0,1,0,0,0,components/camel-osgi/src/main/java/org/apache/camel/osgi/OsgiComponentResolver.java;camel-core/src/main/java/org/apache/camel/Route.java;camel-core/src/main/java/org/apache/camel/impl/DefaultCamelContext.java;camel-core/src/main/java/org/apache/camel/impl/DefaultLifecycleStrategy.java;camel-core/src/main/java/org/apache/camel/impl/RouteContext.java;camel-core/src/main/java/org/apache/camel/management/CamelNamingStrategy.java;camel-core/src/main/java/org/apache/camel/management/InstrumentationLifecycleStrategy.java;camel-core/src/main/java/org/apache/camel/management/ManagedEndpoint.java;camel-core/src/main/java/org/apache/camel/management/ManagedRoute.java;camel-core/src/main/java/org/apache/camel/management/ObjectNameEncoder.java;camel-core/src/main/java/org/apache/camel/model/FromType.java;camel-core/src/main/java/org/apache/camel/model/ResequencerType.java;camel-core/src/main/java/org/apache/camel/model/RouteType.java;camel-core/src/main/java/org/apache/camel/model/RoutesType.java;camel-core/src/main/java/org/apache/camel/spi/LifecycleStrategy.java;camel-core/src/test/java/org/apache/camel/management/JmxInstrumentationUsingDefaultsTest.java;examples/camel-example-spring/src/main/resources/META-INF/spring/camel-context.xml;,0,0
237,Hadrian Zbarcea,1,camel-core,0,0,0.0,0.0,4.0,0.0,0.0,4.0,0,1,0,0,0,pom.xml;,0,0
269,Donatello Santoro,0,camel-core,0,0,0.0,0.0,14.0,1.0,0.0,13.0,0,0,0,0,0,camel-core/src/main/java/org/apache/camel/builder/RouteBuilder.java;,0,0
275,Freeman Fang,0,camel-cxf,0,0,0.0,0.0,40.0,2.0,1.0,37.0,0,1,1,0,1,components/camel-cxf/src/main/java/org/apache/camel/component/cxf/transport/CamelTransportFactory.java;components/camel-cxf/src/main/resources/META-INF/cxf/cxf-extension-camel.xml;components/camel-cxf/src/main/resources/META-INF/cxf/cxf.extension;components/camel-cxf/src/main/resources/bus-extensions.xml;components/camel-cxf/src/test/java/org/apache/camel/component/cxf/transport/CamelDestinationTest.java;components/camel-cxf/src/test/java/org/apache/camel/component/cxf/transport/CamelTestSupport.java;,0,0
277,Jérôme Delagnes,0,camel-core,0,0,0.0,0.0,24.0,1.0,1.0,22.0,0,1,0,1,0,camel-core/src/main/resources/org/apache/camel/model/jaxb.index;,0,0
278,Jérôme Delagnes,0,camel-spring,0,0,0.0,0.0,14.0,0.0,0.0,14.0,1,1,0,1,0,components/camel-spring/src/main/resources/META-INF/spring.schemas;,0,0
283,Claus Ibsen,1,camel-core,0,0,1.0,0.0,46.0,3.0,2.0,42.0,0,1,0,0,1,camel-core/src/main/java/org/apache/camel/processor/DeadLetterChannel.java;,0,0
286,Wilson Freitas,0,camel-cxf,0,0,3.0,1.0,107.0,6.0,2.0,103.0,1,0,0,0,0,components/camel-cxf/src/main/java/org/apache/camel/component/cxf/CxfExchange.java;components/camel-cxf/src/main/java/org/apache/camel/component/cxf/CxfMessage.java;components/camel-cxf/src/test/java/org/apache/camel/component/cxf/CxfPayLoadMessageRouterTest.java;components/camel-cxf/src/test/java/org/apache/camel/component/cxf/CxfRawMessageRouterTest.java;components/camel-cxf/src/test/java/org/apache/camel/component/cxf/CxfRouterTest.java;,0,0
288,Willem Jiang,1,camel-core,0,0,1.0,0.0,30.0,3.0,0.0,28.0,0,0,0,1,0,camel-core/src/main/java/org/apache/camel/model/MulticastType.java;camel-core/src/main/java/org/apache/camel/model/ProcessorType.java;camel-core/src/main/java/org/apache/camel/model/SplitterType.java;camel-core/src/main/java/org/apache/camel/processor/MulticastProcessor.java;camel-core/src/main/java/org/apache/camel/processor/Splitter.java;camel-core/src/test/java/org/apache/camel/processor/MultiCastAggregatorTest.java;camel-core/src/test/java/org/apache/camel/processor/SplitterTest.java;,0,0
291,Przemyslaw Budzik,0,camel-core,0,0,0.0,0.0,29.0,1.0,2.0,26.0,0,1,0,0,0,,0,0
298,Christian Schneider,1,camel-core,0,0,0.0,0.0,23.0,4.0,0.0,19.0,0,0,0,0,0,camel-core/src/main/java/org/apache/camel/impl/CachingInjector.java;camel-core/src/main/java/org/apache/camel/impl/converter/AnnotationTypeConverterLoader.java;camel-core/src/main/java/org/apache/camel/impl/converter/CachingInjector.java;camel-core/src/main/java/org/apache/camel/impl/converter/InstanceMethodTypeConverter.java;,0,0
304,Roman Kalukiewicz,1,camel-http,0,0,2.0,0.0,9.0,0.0,0.0,11.0,0,0,0,1,0,components/camel-http/src/main/java/org/apache/camel/component/http/HttpComponent.java;components/camel-http/src/main/java/org/apache/camel/component/http/HttpEndpoint.java;components/camel-http/src/test/java/org/apache/camel/component/http/MultiThreadedHttpGetTest.java;components/camel-jetty/src/main/java/org/apache/camel/component/jetty/JettyHttpComponent.java;components/camel-jetty/src/main/java/org/apache/camel/component/jetty/JettyHttpEndpoint.java;,0,0
320,Aaron Crickenberger,0,camel-core,0,0,0.0,0.0,20.0,0.0,1.0,19.0,0,1,0,0,0,,0,0
323,Claus Ibsen,1,null,0,0,0.0,0.0,24.0,0.0,0.0,24.0,0,1,0,0,0,,0,0
324,Alex Cichowski,0,camel-http,0,1,1.0,0.0,29.0,0.0,0.0,30.0,0,1,0,1,0,,0,0
335,Lars Heinemann,0,camel-mail,0,0,0.0,0.0,15.0,1.0,0.0,14.0,0,0,0,0,0,components/camel-mail/src/main/java/org/apache/camel/component/mail/MailBinding.java;components/camel-mail/src/main/java/org/apache/camel/component/mail/MailConfiguration.java;components/camel-mail/src/main/java/org/apache/camel/component/mail/MailEndpoint.java;components/camel-mail/src/main/java/org/apache/camel/component/mail/MailUtils.java;components/camel-mail/src/main/resources/META-INF/services/org/apache/camel/component/imaps;components/camel-mail/src/test/java/org/apache/camel/component/mail/MailComponentTest.java;components/camel-mail/pom.xml;components/camel-mail/src/main/java/org/apache/camel/component/mail/MailConfiguration.java;components/camel-mail/src/main/java/org/apache/camel/component/mail/MailConsumer.java;components/camel-mail/src/main/java/org/apache/camel/component/mail/MailUtils.java;components/camel-mail/pom.xml;components/camel-mail/src/test/java/org/apache/camel/component/mail/MailComponentTest.java;components/camel-mail/src/test/java/org/apache/camel/component/mail/MailMessageTest.java;components/camel-mail/src/test/java/org/apache/camel/component/mail/MailRouteTest.java;components/camel-mail/src/test/java/org/apache/camel/component/mail/MimeMessageConsumeTest.java;components/camel-mail/src/test/java/org/apache/camel/component/mail/MultipleDestinationConsumeTest.java;components/camel-mail/src/test/resources/log4j.properties;components/camel-mail/src/test/java/org/apache/camel/component/mail/MailSubjectTest.java;components/camel-mail/src/main/java/org/apache/camel/component/mail/MailConfiguration.java;components/camel-mail/src/main/java/org/apache/camel/component/mail/MailConsumer.java;components/camel-mail/src/main/java/org/apache/camel/component/mail/JavaMailConnection.java;components/camel-mail/src/main/java/org/apache/camel/component/mail/MailBinding.java;components/camel-mail/src/main/java/org/apache/camel/component/mail/MailConfiguration.java;components/camel-mail/src/main/java/org/apache/camel/component/mail/MailConsumer.java;components/camel-mail/src/main/java/org/apache/camel/component/mail/MailEndpoint.java;components/camel-mail/src/main/java/org/apache/camel/component/mail/MailMessage.java;components/camel-mail/src/main/java/org/apache/camel/component/mail/MailProducer.java;components/camel-mail/src/main/java/org/apache/camel/component/mail/MailUtils.java;components/camel-mail/src/main/java/org/apache/camel/component/mail/MessageHeaderAccessException.java;components/camel-mail/src/main/java/org/apache/camel/component/mail/MessageHeaderNamesAccessException.java;components/camel-mail/src/main/java/org/apache/camel/component/mail/RuntimeMailException.java;components/camel-mail/src/test/java/org/apache/camel/component/mail/InvalidConfigurationTest.java;components/camel-mail/src/test/java/org/apache/camel/component/mail/MailProcessOnlyUnseenMessagesTest.java;components/camel-mail/src/test/java/org/apache/camel/component/mail/MailRouteTest.java;components/camel-mail/src/test/java/org/apache/camel/component/mail/MailSubjectTest.java;components/camel-mail/src/test/java/org/apache/camel/component/mail/MimeMessageConsumeTest.java;components/camel-mail/src/test/java/org/apache/camel/component/mail/MultipleDestinationConsumeTest.java;components/camel-mail/src/main/java/org/apache/camel/component/mail/MailConfiguration.java;components/camel-mail/src/main/java/org/apache/camel/component/mail/MailConsumer.java;components/camel-mail/src/test/java/org/apache/camel/component/mail/MailComponentTest.java;components/camel-mail/src/test/java/org/apache/camel/component/mail/MailFetchSizeTest.java;components/camel-mail/src/test/java/org/apache/camel/component/mail/MailFetchSizeZeroTest.java;components/camel-mail/src/main/java/org/apache/camel/component/mail/MailConverters.java;components/camel-mail/src/test/java/org/apache/camel/component/mail/MailProcessOnlyUnseenMessagesTest.java;components/camel-mail/src/main/java/org/apache/camel/component/mail/MailConfiguration.java;components/camel-mail/src/main/java/org/apache/camel/component/mail/MailConsumer.java;components/camel-mail/src/main/java/org/apache/camel/component/mail/MailMessage.java;components/camel-mail/src/main/java/org/apache/camel/component/mail/MailUtils.java;components/camel-mail/src/main/java/org/apache/camel/component/mail/MailConsumer.java;components/camel-mail/src/test/java/org/apache/camel/component/mail/MailProcessOnlyUnseenMessagesTest.java;components/camel-mail/src/test/java/org/apache/camel/component/mail/MimeMessageConsumeTest.java;components/camel-mail/src/main/java/org/apache/camel/component/mail/MailConfiguration.java;components/camel-mail/src/main/java/org/apache/camel/component/mail/MailBinding.java;components/camel-mail/src/main/java/org/apache/camel/component/mail/MailMessage.java;components/camel-mail/src/test/data/logo.jpeg;components/camel-mail/src/test/java/org/apache/camel/component/mail/MailAttachmentTest.java;components/camel-mail/src/main/java/org/apache/camel/component/mail/MailBinding.java;components/camel-mail/src/main/java/org/apache/camel/component/mail/MailConfiguration.java;components/camel-mail/src/main/java/org/apache/camel/component/mail/MailEndpoint.java;components/camel-mail/src/main/java/org/apache/camel/component/mail/MailProducer.java;components/camel-mail/src/test/java/org/apache/camel/component/mail/MailComponentTest.java;components/camel-mail/src/test/java/org/apache/camel/component/mail/MailSubjectTest.java;components/camel-mail/src/main/java/org/apache/camel/component/mail/JavaMailConnection.java;components/camel-mail/src/main/java/org/apache/camel/component/mail/MessageHeaderAccessException.java;components/camel-mail/src/main/java/org/apache/camel/component/mail/MessageHeaderNamesAccessException.java;components/camel-mail/src/main/java/org/apache/camel/component/mail/RuntimeMailException.java;components/camel-mail/src/test/java/org/apache/camel/component/mail/InvalidConfigurationTest.java;components/camel-mail/src/main/java/org/apache/camel/component/mail/MailConfiguration.java;components/camel-mail/src/main/java/org/apache/camel/component/mail/MailConsumer.java;components/camel-mail/src/test/java/org/apache/camel/component/mail/MailComponentTest.java;,0,0
340,Claus Ibsen,1,camel-mina,0,1,0.0,0.0,52.0,1.0,2.0,49.0,0,1,1,0,0,components/camel-mina/src/main/java/org/apache/camel/component/mina/MinaComponent.java;components/camel-mina/src/main/java/org/apache/camel/component/mina/MinaConsumer.java;components/camel-mina/src/test/java/org/apache/camel/component/mina/MinaTcpWithInOutUsingPlainSocketTest.java;,0,0
356,Claus Ibsen,1,camel-mina,0,0,0.0,0.0,32.0,1.0,1.0,30.0,0,1,0,0,0,components/camel-mina/src/main/java/org/apache/camel/component/mina/MinaConsumer.java;components/camel-mina/src/test/java/org/apache/camel/component/mina/MinaTcpWithInOutUsingPlainSocketTest.java;components/camel-mina/src/test/java/org/apache/camel/component/mina/MinaTcpWithInOutUsingPlainSocketTest.java;components/camel-mina/pom.xml;components/camel-mina/src/main/java/org/apache/camel/component/mina/MinaComponent.java;components/camel-mina/src/main/java/org/apache/camel/component/mina/MinaConsumer.java;components/camel-mina/src/main/java/org/apache/camel/component/mina/MinaEndpoint.java;components/camel-mina/src/main/java/org/apache/camel/component/mina/MinaProducer.java;components/camel-mina/src/test/java/org/apache/camel/component/mina/MinaConverterTest.java;components/camel-mina/src/test/java/org/apache/camel/component/mina/MinaMulticastTest.java;components/camel-mina/src/test/java/org/apache/camel/component/mina/MinaTcpWithInOutUsingPlainSocketTest.java;components/camel-mina/src/test/java/org/apache/camel/component/mina/MinaUdpTest.java;components/camel-mina/src/test/java/org/apache/camel/component/mina/MinaUdpUsingTemplateTest.java;components/camel-mina/src/test/java/org/apache/camel/component/mina/MinaUdpWithInOutUsingPlainSocketTest.java;components/camel-mina/src/test/resources/log4j.properties;,0,0
362,Hadrian Zbarcea,1,camel-mina,0,1,0.0,0.0,24.0,1.0,2.0,21.0,0,0,0,0,0,,0,0
363,Marc Giger,0,camel-cxf,1,1,5.0,2.0,134.0,5.0,4.0,132.0,1,0,0,0,0,components/camel-cxf/src/main/java/org/apache/camel/component/cxf/feature/MessageDataFormatFeature.java;components/camel-cxf/src/main/java/org/apache/camel/component/cxf/interceptors/FakeBindingOperationInfo.java;components/camel-cxf/src/main/java/org/apache/camel/component/cxf/interceptors/FaultOutInterceptor.java;components/camel-cxf/src/main/java/org/apache/camel/component/cxf/interceptors/RawMessageContentRedirectInterceptor.java;components/camel-cxf/src/test/java/org/apache/camel/component/cxf/CxfCustmerizedExceptionTest.java;components/camel-cxf/src/test/java/org/apache/camel/component/cxf/CxfMessageCustomizedExceptionTest.java;components/camel-cxf/src/test/java/org/apache/camel/component/cxf/CxfPayLoadCustomizedExceptionTest.java;,0,0
370,Chris Custine,0,camel-ftp,0,0,1.0,0.0,29.0,1.0,0.0,29.0,0,1,0,0,0,,0,0
371,Claus Ibsen,1,camel-mina,0,0,0.0,1.0,15.0,0.0,0.0,16.0,0,1,0,0,0,components/camel-mina/src/main/java/org/apache/camel/component/mina/MinaComponent.java;components/camel-mina/src/main/java/org/apache/camel/component/mina/MinaEndpoint.java;components/camel-mina/src/main/java/org/apache/camel/component/mina/MinaProducer.java;components/camel-mina/src/test/java/org/apache/camel/component/mina/MinaComponentTest.java;components/camel-mina/src/test/java/org/apache/camel/component/mina/MinaExchangeTimeOutTest.java;,0,0
374,David White,0,camel-http; camel-jetty,0,1,1.0,0.0,25.0,0.0,0.0,26.0,0,1,0,0,0,components/camel-http/src/main/java/org/apache/camel/component/http/HttpBinding.java;,0,0
375,Claus Ibsen,1,camel-mina,0,0,0.0,0.0,9.0,2.0,0.0,7.0,0,1,0,0,0,components/camel-mina/src/main/java/org/apache/camel/component/mina/MinaComponent.java;components/camel-mina/src/main/java/org/apache/camel/component/mina/MinaConsumer.java;components/camel-mina/src/main/java/org/apache/camel/component/mina/MinaEndpoint.java;components/camel-mina/src/main/java/org/apache/camel/component/mina/MinaExchange.java;components/camel-mina/src/main/java/org/apache/camel/component/mina/MinaProducer.java;components/camel-mina/src/test/java/org/apache/camel/component/mina/MinaExchangeTest.java;components/camel-mina/src/test/java/org/apache/camel/component/mina/MinaTcpWithIoOutProcessorExceptionTest.java;components/camel-mina/src/test/java/org/apache/camel/component/mina/MinaUdpWithInOutUsingPlainSocketTest.java;,0,0
384,Marc Giger,0,camel-cxf,0,0,0.0,0.0,9.0,0.0,0.0,9.0,0,1,0,0,0,components/camel-cxf/src/main/java/org/apache/camel/component/cxf/CamelInvoker.java;components/camel-cxf/src/main/java/org/apache/camel/component/cxf/interceptors/PayloadContentRedirectInterceptor.java;components/camel-cxf/src/main/java/org/apache/camel/component/cxf/interceptors/RawMessageContentRedirectInterceptor.java;components/camel-cxf/src/test/java/org/apache/camel/component/cxf/CxfCustmerizedExceptionTest.java;components/camel-cxf/src/test/java/org/apache/camel/component/cxf/CxfPayLoadCustomizedExceptionTest.java;,0,0
389,Willem Jiang,1,camel-core,0,1,0.0,0.0,19.0,2.0,0.0,17.0,0,0,0,0,0,camel-core/src/main/java/org/apache/camel/model/MulticastType.java;camel-core/src/main/java/org/apache/camel/model/ProcessorType.java;camel-core/src/main/java/org/apache/camel/processor/MulticastProcessor.java;camel-core/src/main/java/org/apache/camel/processor/ThreadProcessor.java;camel-core/src/test/java/org/apache/camel/processor/MultiCastAggregatorTest.java;,0,1
394,Claus Ibsen,1,camel-mina,0,1,1.0,1.0,19.0,2.0,0.0,19.0,0,0,0,0,0,components/camel-mina/pom.xml;components/camel-mina/src/main/java/org/apache/camel/component/mina/MinaComponent.java;components/camel-mina/src/main/java/org/apache/camel/component/mina/MinaConsumer.java;components/camel-mina/src/main/java/org/apache/camel/component/mina/MinaEndpoint.java;components/camel-mina/src/main/java/org/apache/camel/component/mina/MinaHelper.java;components/camel-mina/src/main/java/org/apache/camel/component/mina/MinaProducer.java;components/camel-mina/src/test/java/org/apache/camel/component/mina/MinaLoggerOptionTest.java;components/camel-mina/src/test/java/org/apache/camel/component/mina/MinaProducerShutdownMockTest.java;components/camel-mina/src/test/java/org/apache/camel/component/mina/MinaProducerShutdownTest.java;components/camel-mina/src/test/java/org/apache/camel/component/mina/MinaTcpWithInOutTest.java;components/camel-mina/src/test/java/org/apache/camel/component/mina/MinaTcpWithInOutUsingPlainSocketTest.java;components/camel-mina/src/test/java/org/apache/camel/component/mina/MinaTransferExchangeOptionTest.java;components/camel-mina/src/test/java/org/apache/camel/component/mina/ReverseProtocolHandler.java;components/camel-mina/src/test/java/org/apache/camel/component/mina/ReverserServer.java;,0,0
395,Claus Ibsen,1,camel-mina,0,1,2.0,2.0,92.0,1.0,2.0,93.0,0,0,0,0,0,components/camel-mina/pom.xml;components/camel-mina/src/main/java/org/apache/camel/component/mina/MinaComponent.java;components/camel-mina/src/main/java/org/apache/camel/component/mina/MinaConsumer.java;components/camel-mina/src/main/java/org/apache/camel/component/mina/MinaEndpoint.java;components/camel-mina/src/main/java/org/apache/camel/component/mina/MinaHelper.java;components/camel-mina/src/main/java/org/apache/camel/component/mina/MinaProducer.java;components/camel-mina/src/test/java/org/apache/camel/component/mina/MinaLoggerOptionTest.java;components/camel-mina/src/test/java/org/apache/camel/component/mina/MinaProducerShutdownMockTest.java;components/camel-mina/src/test/java/org/apache/camel/component/mina/MinaProducerShutdownTest.java;components/camel-mina/src/test/java/org/apache/camel/component/mina/MinaTcpWithInOutTest.java;components/camel-mina/src/test/java/org/apache/camel/component/mina/MinaTcpWithInOutUsingPlainSocketTest.java;components/camel-mina/src/test/java/org/apache/camel/component/mina/MinaTransferExchangeOptionTest.java;components/camel-mina/src/test/java/org/apache/camel/component/mina/ReverseProtocolHandler.java;components/camel-mina/src/test/java/org/apache/camel/component/mina/ReverserServer.java;,0,1
404,Claus Ibsen,1,null,0,0,0.0,0.0,6.0,0.0,0.0,6.0,0,0,0,0,0,components/camel-jms/src/main/java/org/apache/camel/component/jms/JmsBinding.java;components/camel-jms/src/main/java/org/apache/camel/component/jms/JmsConfiguration.java;components/camel-jms/src/main/java/org/apache/camel/component/jms/JmsExchange.java;components/camel-jms/src/main/java/org/apache/camel/component/jms/requestor/FailedToProcessResponse.java;components/camel-mail/src/main/java/org/apache/camel/component/mail/MailBinding.java;components/camel-mail/src/main/java/org/apache/camel/component/mail/MailConsumer.java;components/camel-mail/src/main/java/org/apache/camel/component/mail/MailExchange.java;components/camel-rmi/src/main/java/org/apache/camel/component/rmi/RmiConsumer.java;components/camel-script/src/main/java/org/apache/camel/builder/script/ScriptBuilder.java;components/camel-http/src/main/java/org/apache/camel/component/http/HttpEndpoint.java;components/camel-spring/src/main/java/org/apache/camel/spring/CamelBeanPostProcessor.java;components/camel-spring/src/main/java/org/apache/camel/spring/SpringRouteBuilder.java;components/camel-xmpp/src/main/java/org/apache/camel/component/xmpp/XmppBinding.java;components/camel-xmpp/src/main/java/org/apache/camel/component/xmpp/XmppConsumer.java;components/camel-xmpp/src/main/java/org/apache/camel/component/xmpp/XmppExchange.java;camel-core/src/main/java/org/apache/camel/AsyncCallback.java;camel-core/src/main/java/org/apache/camel/AsyncProcessor.java;camel-core/src/main/java/org/apache/camel/CamelContext.java;camel-core/src/main/java/org/apache/camel/CamelExchangeException.java;camel-core/src/main/java/org/apache/camel/CamelTemplate.java;camel-core/src/main/java/org/apache/camel/Exchange.java;camel-core/src/main/java/org/apache/camel/Message.java;camel-core/src/main/java/org/apache/camel/NoSuchEndpointException.java;camel-core/src/main/java/org/apache/camel/ProducerTemplate.java;camel-core/src/main/java/org/apache/camel/Route.java;camel-core/src/main/java/org/apache/camel/RuntimeExchangeException.java;camel-core/src/main/java/org/apache/camel/builder/RouteBuilder.java;camel-core/src/main/java/org/apache/camel/component/jmx/JMXMessage.java;camel-core/src/main/java/org/apache/camel/converter/jaxp/BytesSource.java;camel-core/src/main/java/org/apache/camel/converter/jaxp/StringSource.java;camel-core/src/main/java/org/apache/camel/converter/jaxp/XmlConverter.java;camel-core/src/main/java/org/apache/camel/impl/DefaultCamelContext.java;camel-core/src/main/java/org/apache/camel/impl/DefaultConsumer.java;camel-core/src/main/java/org/apache/camel/impl/LoggingExceptionHandler.java;camel-core/src/main/java/org/apache/camel/impl/MessageSupport.java;camel-core/src/main/java/org/apache/camel/impl/converter/AnnotationTypeConverterLoader.java;camel-core/src/main/java/org/apache/camel/management/CamelNamingStrategy.java;camel-core/src/main/java/org/apache/camel/model/ProcessorType.java;camel-core/src/main/java/org/apache/camel/model/RouteContainer.java;camel-core/src/main/java/org/apache/camel/model/config/StreamResequencerConfig.java;camel-core/src/main/java/org/apache/camel/model/language/ExpressionType.java;camel-core/src/main/java/org/apache/camel/processor/Aggregator.java;camel-core/src/main/java/org/apache/camel/processor/ErrorHandlerSupport.java;camel-core/src/main/java/org/apache/camel/processor/loadbalancer/TopicLoadBalancer.java;camel-core/src/main/java/org/apache/camel/spi/LifecycleStrategy.java;camel-core/src/main/java/org/apache/camel/spi/TypeConverterAware.java;camel-core/src/main/java/org/apache/camel/util/CamelContextHelper.java;camel-core/src/main/java/org/apache/camel/util/DefaultTimeoutMap.java;camel-core/src/main/java/org/apache/camel/util/ExchangeHelper.java;camel-core/src/main/java/org/apache/camel/util/ObjectHelper.java;camel-core/src/main/java/org/apache/camel/util/ProducerCache.java;camel-core/src/main/java/org/apache/camel/util/jndi/JndiContext.java;camel-core/src/main/java/org/apache/camel/view/NodeData.java;components/camel-cxf/src/main/java/org/apache/camel/component/cxf/CamelInvoker.java;components/camel-cxf/src/main/java/org/apache/camel/component/cxf/MessageInvoker.java;components/camel-cxf/src/main/java/org/apache/camel/component/cxf/interceptors/AbstractMessageInInterceptor.java;components/camel-cxf/src/main/java/org/apache/camel/component/cxf/invoker/InvokingContext.java;components/camel-cxf/src/main/java/org/apache/camel/component/cxf/transport/CamelDestination.java;components/camel-cxf/src/test/java/org/apache/camel/component/cxf/transport/CamelDestinationTest.java;,0,0
